,Reaction name,SMIRKS,Priority level,Name of rule subset,Rule source,SOM Indices
131,N-oxidation_(-N=),[#6:1]~[#7;X2;R:2]~[#6:3]>>[#6:1]~[#7+:2](~[#6:3])[O-],common,Phase 1 SyGMa rules,SyGMa,2
132,N-oxidation_(aniline),[c:1][NH2:2]([H])>>[c:1][N:2]O,common,Phase 1 SyGMa rules,SyGMa,2
133,acetyl_shift,[#6:1][C:2](=O)O[C:5][C:6][OH1]>>[#6:1][C:2](=O)O[C:6][C:5]O,common,Phase 1 SyGMa rules,SyGMa,"5,6"
134,tautomerisation_(keto->enol),[c:1][C:2](=[O:3])[CH2:4]([H])[#6:5]>>[c:1][C:2](-[O:3])=[C:4][#6:5],common,Phase 1 SyGMa rules,SyGMa,"2,3,4"
135,vinyl_oxidation,[#6:3][CH1:1]=[CH2:2]>>[#6:3][C:1](O)-[C:2]O,common,Phase 1 SyGMa rules,SyGMa,"1,2"
136,isopropenyl_oxidation,[#6:3][C:1]([CH3:4])=[CH2:2]>>[#6:3][C:1]([CH3:4])(O)-[C:2]O,common,Phase 1 SyGMa rules,SyGMa,"2,1"
137,oxidation_(amine_in_a_ring),[CH2:1][CH2;R:2]([H])([H])[N:3]>>[C:1][C:2](=O)[N:3],common,Phase 1 SyGMa rules,SyGMa,2
138,imine_hydrolysis,[#6:1][C:2]([#6:3])=[N;!$(N-N):4]>>([#6:1][C:2]([#6:3])=O.[N:4]),common,Phase 1 SyGMa rules,SyGMa,2
139,hydrazone_hydrolysis,[#6:2]=[N:4]-[N:5]>>([#6:2]=O.[N:4]-[N:5]),common,Phase 1 SyGMa rules,SyGMa,2
140,diazene_cleavage,[c:1][N:2]=[N:3][c:4]>>([c:1][N:2].[N:3][c:4]),common,Phase 1 SyGMa rules,SyGMa,"3,2"
141,azide_cleavage,[*:1][N:2]=[N+]=[N-]>>[*:1][N:2],common,Phase 1 SyGMa rules,SyGMa,2
142,aromatic_oxidation,[#6:1][c:2]1[cH1:3][cH1:4]([H])[cH1:5]([H])[cH1:6][cH1:7]1>>[#6:1][c:2]1[c:3][c:4](OC)[c:5](O)[c:6][c:7]1,common,Phase 1 SyGMa rules,SyGMa,"5,4"
143,phosphine_sulphide_hydrolysis,[P:1]=[S]>>[P:1]=[O],common,Phase 1 SyGMa rules,SyGMa,1
144,oxidation_to_quinone,"[#7,O;H1:1]([H])[#6:2]:1:[#6:3]:[#6:4]:[#6:5](:[#6:6]:[#6:7]:1)[#7,O;H1:8]([H])>>[*:1]=[#6:2]-1-[#6:3]=[#6:4]-[#6:5](-[#6:6]=[#6:7]-1)=[*:8]",common,Phase 1 SyGMa rules,SyGMa,"2,5"
145,cyclic_hemiacetal_ring_opening,[#6:1][O:2]@[CH1:3]([OH1:4])[*:5]>>([#6:1][O:2].[C:3]([O:4])[*:5]),common,Phase 1 SyGMa rules,SyGMa,"2,3"
146,oxidation_(C=N),[NX2:1]=[CH1:2]([H])>>[N:1]-[C:2]=O,common,Phase 1 SyGMa rules,SyGMa,2
147,deiodonidation,[#6X3:1][I]>>[#6:1],common,Phase 1 SyGMa rules,SyGMa,1
148,nitrile_to_amide,[C:1]#N>>[C:1](=O)-N,common,Phase 1 SyGMa rules,SyGMa,1
149,steroid_d5d4,[C;$(C~1~C~C~C~C~2~C~C~C~3~C~4~C~C~C~C~4~C~C~C~3~C~2~1):1]1[C:2][C:3](=[O:30])[C:4]([H])[C:5]=[C:6]1>>[C:1]1[C:2][C:3](=[O:30])[C:4]=[C:5]-[C:6]1,common,Phase 1 SyGMa rules,SyGMa,"4,5,6"
150,steroid_17hydroxy_to_keto,[C;$(C~1~C~2~C~C~C~3~C~4~C~C~C~C~C~4~C~C~C~3~C~2~C~C~1):17]([OH1:30]([H]))!@[C:31]>>([C:17]=[OH0:30].[C:31]),common,Phase 1 SyGMa rules,SyGMa,17
151,aliphatic hydroxylation,[C;X4:1][H]>>[C:1][O][H],common,CYP rules from GLORY (phase 1),GLORY,1
152,aliphatic hydroxylation with allylic rearrangement 1,[C;!$(C(=C)CC=C);X3:1]=[C;X3:2][C;!$(C(C=C)C=C);X4:3]([H])>>[C:1](O)-[C:2]=[C:3],uncommon,CYP rules from GLORY (phase 1),GLORY,1
153,aliphatic hydroxylation with allylic rearrangement 2,[C;X3:1]=[C;X3:2][C;$(C(C=C)C=C)X4:3]([H])([H])>>[C:1](O)-[C:2]=[C:3],uncommon,CYP rules from GLORY (phase 1),GLORY,1
154,aromatic hydroxylation,[c:1][H:2]>>[c:1][O][H:2],common,CYP rules from GLORY (phase 1),GLORY,1
155,aromatic hydroxylation with nih shift,"[c:1]([H])[c;$(c1c([H])c([H])[c;H0]c([H])c([H])1):2][CH3,Br,Cl:3]>>[c:1]([*:3])[c:2][O][H]",common,CYP rules from GLORY (phase 1),GLORY,2
156,aromatic hydroxylation of pyrazolone,"[#6;$([#6]1[#6](=O)[#7][#7][#6]:,=1),$([#6]1:,=[#6][#6](=O)[#7][#7]1):1][H]>>[#6:1][O][H]",common,CYP rules from GLORY (phase 1),GLORY,1
157,hydroxylation of cyclopropane,[C:1]1[C:2][C:3]1[C:4]([H])>>[C:1](O)[C:2][C:3]=[C:4],uncommon,CYP rules from GLORY (phase 1),GLORY,1
158,amine hydroxylation,[N:1]([H:3])[#6:2]>>[N:1]([O][H:3])[#6:2],common,CYP rules from GLORY (phase 1),GLORY,1
159,N-dealkylation,[#7:1][C:2]([H])>>[#7:1][H].[C:2]=[O],common,CYP rules from GLORY (phase 1),GLORY,"1,2"
160,N-dealkylation of piperazine,[*;!#1:1][N;X3:2]1[C:3][C:4][N;X3:5][CH2][CH2]1>>[*:1][N:2][C:3][C:4][N:5],common,CYP rules from GLORY (phase 1),GLORY,"2,5"
161,N-dealkylation of morpholine,[N;X3;$(N1CCOCC1):1][CH2;$(C1NCCOC1):2][CH2;$(C1OCCNC1):3][O;$(O1CCNCC1):4]>>[N:1].[O:4],common,CYP rules from GLORY (phase 1),GLORY,"2,3"
162,S-dealkylation,[C:3][#16:1][C:2]([H])>>[C:3][#16:1]([H]).[C:2]=[O],common,CYP rules from GLORY (phase 1),GLORY,2
163,O-dealkylation of methylenedioxyphenyl,[O$(O1c2ccccc2OC1):1][C:2]([H])([H])[O$(O1c2ccccc2OC1):3]>>[O:1]([H]).[C:2](=O)[O-].[O:3]([H]),common,CYP rules from GLORY (phase 1),GLORY,2
164,S-oxidation,[#16:1] >> [#16:1](=[O]),common,CYP rules from GLORY (phase 1),GLORY,1
165,N-oxidation,"[#7;X3,X2;H0:1][#6:2]>>[#7+:1]([O-])[#6:2]",common,CYP rules from GLORY (phase 1),GLORY,1
166,P-oxidation,[#15;X3:1]>>[#15;X4:1]=[O],common,CYP rules from GLORY (phase 1),GLORY,1
167,aldehyde oxidation,[C:1]([H])=[O:2]>>[C:1](O)=[O:2],common,CYP rules from GLORY (phase 1),GLORY,1
168,aldehyde oxidation to olefin,[C:1]([H])[C:2]([H])[C:3]([H])=[O:4]>>[C:1]=[C:2].[C:3](O)=[O:4],uncommon,CYP rules from GLORY (phase 1),GLORY,3
169,alcohol oxidation,[C:1]([H])[O:2][H]>>[C:1]=[O:2],common,CYP rules from GLORY (phase 1),GLORY,1
170,olefin oxidation,[C:1]([C:3])([C:4])=[C:2]([C:5])([C:6])>>[C:1](=O)([C:3])[C:2]([C:4])([C:5])([C:6]),common,CYP rules from GLORY (phase 1),GLORY,1
171,"acetylene oxidation, first step",[#6:3][C:1]#[C:2][#6:4]>>[#6:3][C:1]([#6:4])=[C:2](=O),common,CYP rules from GLORY (phase 1),GLORY,2
172,"acetylene oxidation, complete oxidation",[#6:3][C:1]#[C:2][#6:4]>>[#6:3][C:1]([#6:4])[C:2](=O)[O],common,CYP rules from GLORY (phase 1),GLORY,2
173,oxidation of 4-substituted phenol to quinone,[c:1]1([O:7][H])[c:2][c:3][c;X3:4]([!C:8])[c:5][c:6]1>>[C:1]1(=[O:7])-[C:2]=[C:3]-[C;X3:4](=O)-[C:5]=[C:6]-1.[!C:8],uncommon,CYP rules from GLORY (phase 1),GLORY,"1,4"
174,oxidation of 4-substituted anisole to quinone,[c:1]1([O:7][C:9])[c:2][c:3][c;X3:4]([!C:8])[c:5][c:6]1>>[C:1]1(=[O:7])-[C:2]=[C:3]-[C;X3:4](=O)-[C:5]=[C:6]-1.[!C:8].[C:9],uncommon,CYP rules from GLORY (phase 1),GLORY,"1,4"
175,oxidation of 4-substituted phenol to quinone (substituent not a leaving group),[c:1]1([O:7][H])[c:2][c:3][c;X3:4]([C:8])[c:5][c:6]1>>[C:1]1(=[O:7])-[C:2]=[C:3]-[C:4]([C:8])(O)-[C:5]=[C:6]-1,uncommon,CYP rules from GLORY (phase 1),GLORY,"1,4"
176,oxidation of 4-substituted phenol to quinone imine,[c:1]1([O:7][H])[c:2][c:3][c;X3:4]([N:8][H])[c:5][c:6]1>>[C:1]1(=[O:7])-[C:2]=[C:3]-[C;X3:4](=[N:8])-[C:5]=[C:6]-1,uncommon,CYP rules from GLORY (phase 1),GLORY,"1,4"
177,oxidation of 4-substituted anisole to quinone (substituent not a leaving group),[c:1]1([O:7][C:9])[c:2][c:3][c;X3:4]([C:8])[c:5][c:6]1>>[C:1]1(=[O:7])-[C:2]=[C:3]-[C:4]([C:8])(O)-[C:5]=[C:6]-1.[C:9],uncommon,CYP rules from GLORY (phase 1),GLORY,"1,4"
178,oxidation of indole,"[c;$(c1cc2ccccc2n1),$(c1c2ccccc2nc1):1]([H])=,:[c:2]-,:[n:3]>>[C:1](=[O])-[C:2]-[N:3]",uncommon,CYP rules from GLORY (phase 1),GLORY,1
179,epoxidation,[C:1]=[C:2]>>[C:1]1[C:2][O]1,common,CYP rules from GLORY (phase 1),GLORY,"1,2"
180,"oxidation of 1,4-dihydropyridines",[N;X3:1]1([H])[#6:2]=[#6:3][#6;X4:4]([H])[#6:5]=[#6:6]1>>[n;H0:1]1=[#6:2][#6:3]=[#6:4][#6:5]=[#6:6]1,common,CYP rules from GLORY (phase 1),GLORY,"1,4"
181,N-dearylation,[c;R1:1]1[c;R1:2][c;R1:3][c;R1:4][c;R1:5][c;R1:6]1[N:7][c:8]>>[C:1]1=[C:2]-[C:3]-[C:4]=[C:5]-[C:6]1=[O].[c:8][NH2:7],uncommon,CYP rules from GLORY (phase 1),GLORY,6
182,O-dearylation,[c;R1:1]1[c;R1:2][c;R1:3][c;R1:4][c;R1:5][c;R1:6]1[O:7][c:8]>>[C:1]1=[C:2]-[C:3]-[C:4]=[C:5]-[C:6]1=[O].[c:8][O:7],uncommon,CYP rules from GLORY (phase 1),GLORY,6
183,O-dearylation,[c;R1:1]1[c;R1:2][c;R1:3][c;R1:4][c;R1:5][c;R1:6]1[O:7][c;R1:8]2[c;R1:9][c;R1:10][c;R1:11][c;R1:12][c;R1:13]2>>[C:1]1=[C:2]-[C:3]-[C:4]=[C:5]-[C:6]1=[O:7].[C:8]2(=[O])-[C:9]=[C:10]-[C:11]-[C:12]=[C:13]-2,uncommon,CYP rules from GLORY (phase 1),GLORY,"6,8"
184,O-dearylation with para hydroxyl,[c;R1:1]1[c;R1:2][c;R1:3]([O:20][H])[c;R1:4][c;R1:5][c;R1:6]1[O:7][c:8]>>[C:1]1=[C:2]-[C:3](=[O:20])-[C:4]=[C:5]-[C:6]1=[O].[c:8][O:7],uncommon,CYP rules from GLORY (phase 1),GLORY,"3,6"
185,O-dearylation with para hydroxyl,[c;R1:1]1[c;R1:2][c;R1:3]([O:20][H])[c;R1:4][c;R1:5][c;R1:6]1[O:7][c;R1:8]2[c;R1:9][c;R1:10][c;R1:11][c;R1:12][c;R1:13]2>>[C:1]1=[C:2]-[C:3](=[O:20])-[C:4]=[C:5]-[C:6]1=[O:7].[C:8]2(=[O])-[C:9]=[C:10]-[C:11]-[C:12]=[C:13]-2,uncommon,CYP rules from GLORY (phase 1),GLORY,"3,6,8"
186,deformylation,[C:1]([H])-[C:2]([H])-[C:3]=[O:4]>>[C:1]=[C:2].[C:3]=[O:4],uncommon,CYP rules from GLORY (phase 1),GLORY,3
187,desulfuration of phosphor,[*:1][P:2](=S)([*:3])[*:4]>>[*:1][P:2](=O)([*:3])[*:4],common,CYP rules from GLORY (phase 1),GLORY,2
188,desulfuration of carbon,[*:1][C:2](=S)[*:3]>>[*:1][C:2](=O)[*:3],uncommon,CYP rules from GLORY (phase 1),GLORY,2
189,reduction of N-oxide,[#7+;X4:1]([O-])>>[#7;X3:1],uncommon,CYP rules from GLORY (phase 1),GLORY,1
190,reduction of RNOR,"[#8;$([#8][#6]):1][#7:2]:,=[#6:3]>>[#8:1]([H]).[#7:2]([H])([H])-[#6:3]([H])",uncommon,CYP rules from GLORY (phase 1),GLORY,"2,1"
191,reduction of RNOR,[#8;$([#8][#6]):1][#7:2][#6;!X4:3]>>[#8:1]([H]).[#7:2].[#6:3]=[O],uncommon,CYP rules from GLORY (phase 1),GLORY,"2,1"
192,reduction of RNOR,[#8;$([#8][#6]):1][#7;$([#7][#6]):2]>>[#8:1]([H]).[#7:2]([H]),uncommon,CYP rules from GLORY (phase 1),GLORY,"1,2"
193,reduction of nitro group,[N;X3:1](=O)=[O]>>[NH2:1],uncommon,CYP rules from GLORY (phase 1),GLORY,1
194,reduction of nitro group,[N+;X3:1](=O)[O-]>>[NH2:1],uncommon,CYP rules from GLORY (phase 1),GLORY,1
195,reduction of C- or N-nitroso compound,"[C,N:1][N;X2:2](=O)>>[C,N:1][N;H2:2]",uncommon,CYP rules from GLORY (phase 1),GLORY,2
196,azo reduction,[#6:1][N:2]=[N:3][#6:4]>>[#6:1][NH2:2].[NH2:3][#6:4],uncommon,CYP rules from GLORY (phase 1),GLORY,"2,3"
197,hydrazine reduction,[NX3:1]-[NX3:2]>>[N:1]([H]).[N:2]([H]),uncommon,CYP rules from GLORY (phase 1),GLORY,"1,2"
198,oxidative dehalogenation alkyl,"[C:1]([H])[F,Cl,Br:2]>>[C:1]=[O].[F,Cl,Br:2]",common,CYP rules from GLORY (phase 1),GLORY,1
199,oxidative dehalogenation benzyl,"[c;$([c;!H]1ccccc1),$(c1[c;!H]cccc1),$(c1c[c;!H]ccc1),$(c1cc[c;!H]cc1),$(c1ccc[c;!H]c1),$(c1cccc[c;!H]1):1][F,Cl,Br,I:2]>>[c:1][O].[F,Cl,Br,I:2]",uncommon,CYP rules from GLORY (phase 1),GLORY,1
200,reductive dehalogenation,"[C:1]([F,Cl,Br:3])[C:2]([F,Cl,Br:4])>>[C:1]=[C:2].[*:3].[*:4]",uncommon,CYP rules from GLORY (phase 1),GLORY,"1,2"
201,alkyl dehydrogenation,[C:1]([H])-[C:2]([H])>>[C:1]=[C:2],uncommon,CYP rules from GLORY (phase 1),GLORY,"1,2"
202,dehydration of N-C bond,[N;X3:1]([H])[C;!H3:2][H]>>[N:1]=[C:2],uncommon,CYP rules from GLORY (phase 1),GLORY,"2,1"
203,dehydration of N-C bond,"[#7;X3:1]([H]):,-[#6;!H3:2]([H]):,=[#6:3]-[C:4]([H])>>[#7:1]=[#6:2]-[#6:3]=[C:4]",uncommon,CYP rules from GLORY (phase 1),GLORY,"1,2,3,4"
204,dehydration of N-C bond,[N;X3:1][C:2][H]>>[N+:1]=[C:2],uncommon,CYP rules from GLORY (phase 1),GLORY,"2,1"
205,oxidative ether cleavage to one alcohol and one aldehyde/ketone,[#6:1][O:2][C:3]([H])>>[#6:1][O;H1:2].[C;X3:3](=O),common,CYP rules from GLORY (phase 1),GLORY,3
206,oxidative ester cleavage,[C$(C(O)([#6])=O):2][O:3][C:4][H]>>[C:2][O:3].[C:4]=[O],uncommon,CYP rules from GLORY (phase 1),GLORY,4
207,monothiophosphate ester cleavage,[S:1]=[P$(P(O)(O)=S):2][O:3][#6:4]>>[S:1]=[P:2][O:3].[#6:4][O],uncommon,CYP rules from GLORY (phase 1),GLORY,2
208,monothiophosphate ester cleavage,[S:1]=[P$(P(O)(O)=S):2][O:3][#6:4]>>[S:1].[O]=[P:2][O:3].[#6:4][O],uncommon,CYP rules from GLORY (phase 1),GLORY,2
209,phosphoester cleavage,[O:1]=[P$(P(O)(O)=O):2][O:3][#6:4]>>[O:1]=[P:2][O:3].[#6:4][O],uncommon,CYP rules from GLORY (phase 1),GLORY,2
210,carbamate cleavage,[#7:1][C;$([C](O)=O):2][O:3][C:4]>>[#7:1][H].[C:2]=[O:3].[C:4][O],uncommon,CYP rules from GLORY (phase 1),GLORY,2
211,carbamide cleavage,[N:1][C;$([C](N)(N)=O):2][N:3]>>[N:1][C:2].[N:3],uncommon,CYP rules from GLORY (phase 1),GLORY,2
212,oxidation of N-nitrosamine,[N$(N(C)C):1]([C:3][H])[N$(N(N)=O):2]>>[N:1]([H])([H]).[N:2]([O-]).[C:3](=O),uncommon,CYP rules from GLORY (phase 1),GLORY,"1,2"
213,scission of unsaturated fatty acid peroxides 1,[C:1]=[C:2][C:3](O)[C:4]1-[C:5]-[O:6]1>>[C:1]([H])=[C:2]-[C:3]=[C:4]-[C:5]-[O:6]([O]),uncommon,CYP rules from GLORY (phase 1),GLORY,"3,4,5"
214,scission of unsaturated fatty acid peroxides 2,[C:1]([O])[C:2]=[C:3][C:4]1-[C:5]-[O:6]1>>[C:1]([H])=[C:2]-[C:3]=[C:4]-[C:5]-[O:6]([O]),uncommon,CYP rules from GLORY (phase 1),GLORY,"4,5,3,2,1"
215,dehydration of an aldoxime to a nitrile,[C:1]([H])=[N:2][O]([H])>>[C:1]#[N:2],uncommon,CYP rules from GLORY (phase 1),GLORY,2
216,cyclization to 6-membered lactone,[C:1]([H])([OH])[#6:2][#6:3][#6:4][C;$(C=O):5][O:6][*:7]>>[C:1]1[#6:2][#6:3][#6:4][C;$(C=O):5][O:6]1.[*:7],uncommon,CYP rules from GLORY (phase 1),GLORY,1
217,cyclization to 5-membered lactone,"[C:1]([H])[c:2][c:3][C;$(C=O):4][O:5][C,#1:6]>>[C:1]1[c:2][c:3][C:4][O:5]1.[*:6]",uncommon,CYP rules from GLORY (phase 1),GLORY,1
218,cyclization to 6-membered NCN ring,[N;X3:1]([H])~[*:2]~[*:3]~[*:4]~[N:5]-[C:6]([H])>>[N:1]1~[*:2]~[*:3]~[*:4]~[N:5]-[C:6]1,uncommon,CYP rules from GLORY (phase 1),GLORY,6
219,cyclization to 5-membered NCN ring,[N;X3:1]([H])~[*:2]~[*:3]~[N:5]-[C:6]([H])>>[N:1]1~[*:2]~[*:3]~[N:5]-[C:6]1,uncommon,CYP rules from GLORY (phase 1),GLORY,6
220,cyclization to furan,[O:1]=[C;R1:2][C;R1:3]=[C:4][C:5]([H])[H]>>[O:1]1[C:2]=[C:3][C:4]=[C:5]1,uncommon,CYP rules from GLORY (phase 1),GLORY,5
221,cyclobutamine expansion,[C:1]1-[C:2]-[C:3]-[C$(C1(C)CCC1):4]1[N:5]([H])>>[C:1]1-[C:2]-[C:3]-[C:4]=[N+:5]1,uncommon,CYP rules from GLORY (phase 1),GLORY,"5,1"
222,D-homoannulation of 17 alpha-ethinyl steroids,[C$([#6R1]~1~[#6R1]~[#6R1]~[#6R2]~2~[#6R2]~1~[#6R1]~[#6R1]~[#6R2]~3~[#6R2]~2~[#6R1]~[#6R1]~[#6R2]~4~[#6R1]~[#6R1]~[#6R1]~[#6R1]~[#6R2]~3~4):1]1([O:6][H])([C:7]#[C:8])[C:2][C:3][C:4][C:5]1>>[C:1]1(=[O:6])[C:7](=[C:8](O))[C:2][C:3][C:4][C:5]1,uncommon,CYP rules from GLORY (phase 1),GLORY,"1,7,6"
223,"oxidation of spiro[2,5]oxane",[C:1]1[C:2]2([C:3][C:4]2)[C:5]([H])[C:6][C:7][C:8]1>>[C:1]1[C:2]2(O)[C:3][C:4][C:5]2[C:6][C:7][C:8]1,uncommon,CYP rules from GLORY (phase 1),GLORY,2
224,O-glucuronidation_(aliphatic_hydroxyl),[C;!$(C1CCOCC1);!$(C1COCCC1);!$(C(O)=O):1][O:2]([H])>>[C:1][O:2]C1OC(C(O)=O)C(O)C(O)C1O,common,UGT rules (phase 2),SyGMa,2
225,O-glucuronidation_(aromatic_hydroxyl),[c:1][O:2]([H])>>[c:1][O:2]C1OC(C(O)=O)C(O)C(O)C1O,common,UGT rules (phase 2),SyGMa,2
226,O-glucuronidation_(N-hydroxyl),[#7:1][O:2]([H])>>[#7:1][O:2]C1OC(C(O)=O)C(O)C(O)C1O,common,UGT rules (phase 2),SyGMa,2
227,O-glucuronidation_(aliphatic_carboxyl),[C:1][C;!$(C(O)(=O)C1OCCCC1):2](=O)[O:3]([H])>>[C:1][C:2](=O)[O:3]C1OC(C(O)=O)C(O)C(O)C1O,common,UGT rules (phase 2),SyGMa,3
228,O-glucuronidation_(aromatic_carboxyl),[c:1][C:2](=O)[O:3]([H])>>[c:1][C:2](=O)[O:3]C1OC(C(O)=O)C(O)C(O)C1O,common,UGT rules (phase 2),SyGMa,3
229,N-glucuronidation_(aniline),[c:1][NH2;X3:2]([H])>>[c:1][N:2]C1OC(C(O)=O)C(O)C(O)C1O,common,UGT rules (phase 2),SyGMa,2
230,N-glucuronidation_(aliphatic_NH2),[C:1][NH2;X3:2]([H])>>[C:1][N:2]C1OC(C(O)=O)C(O)C(O)C1O,common,UGT rules (phase 2),SyGMa,2
231,N-glucuronidation_(aniline_NH1-R),[c:1][NH1;X3:2]([H])>>[c:1][N:2]C1OC(C(O)=O)C(O)C(O)C1O,common,UGT rules (phase 2),SyGMa,2
232,N-glucuronidation_(N(CH3)2),[N;X3;$(N([CH3])([CH3])[CH2]C):1]>>[N+:1]C1OC(C(O)=O)C(O)C(O)C1O,common,UGT rules (phase 2),SyGMa,1
233,N-glucuronidation_(NCH3_in_a_ring),[N;X3;R;$(N(C)(C)[CH3]):1]>>[N+:1]C1OC(C(O)=O)C(O)C(O)C1O,common,UGT rules (phase 2),SyGMa,1
234,N-glucuronidation_(NH_in_a_ring),[NH1;X3;R;$(N(C)C):1]([H])>>[N:1]C1OC(C(O)=O)C(O)C(O)C1O,common,UGT rules (phase 2),SyGMa,1
235,N-glucuronidation_(aromatic_=n-),[n;X2:1]>>[n+:1]C1OC(C(O)=O)C(O)C(O)C1O,common,UGT rules (phase 2),SyGMa,1
236,N-glucuronidation_(aromatic_-nH-),[nH1;X3:1]([H])>>[n:1]C1OC(C(O)=O)C(O)C(O)C1O,common,UGT rules (phase 2),SyGMa,1
237,sulfation_(aromatic_hydroxyl),[c:1][O:2]([H])>>[c:1][O:2]S(=O)(=O)O,common,SULT rules (phase 2),SyGMa,2
238,sulfation_(aniline),[c:1][NH2:2]([H])>>[c:1][N:2]S(=O)(=O)O,common,SULT rules (phase 2),SyGMa,2
239,sulfation_(aliphatic_hydroxyl),[C;!$(C=O);!$(CC[OH1]):1][O:2]([H])>>[C:1][O:2]S(=O)(=O)O,common,SULT rules (phase 2),SyGMa,2
240,glutathione_conjugation_(epoxide),[C:1]([H])1-[O:2]-[C:3]([H])1>>[C:1]([O:2]([H]))[C:3]SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,common,GST rules (phase 2),Current work,"1,2,3"
241,"glutathione_conjugation_(alpha,beta-unsaturated_carbonyl)","[C;!$(C1=CC(=O)C=CC(=[N,O])1);!$(C1=CC(=O)C(=O)C=C1):1]=[C;$(CC=O):2]>>[C:1](SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)-[C;$(CC=O):2]([H])",common,GST rules (phase 2),Current work,1
242,glutathione_conjugation_(aliphatic_nucleophilic_substitution),"[C;H2;$(Cc),$(CCc),$(CC=C),$(C[CH3]),$(C[CH2]):1]([H])[*;Br,Cl,I,$(OS(=O)(=O)[O-]),$(OS(=O)(=O)O*),$(OP(=O)(O*)O*)]>>[C;H2:1]([H])SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N",common,GST rules (phase 2),Current work,1
243,glutathione_conjugation_(chloroalkene),[C;$(C=C):1](Cl)>>[C:1](SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N),common,GST rules (phase 2),Current work,1
244,glutathione_conjugation_(aromatic_nucleophilic_substitution),"[c:1][*;Br,Cl,I,$(OS(=O)(=O)[O-]),$(OS(=O)(=O)O*),$(OP(=O)(O*)O*)]>>[c:1]SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N",common,GST rules (phase 2),Current work,1
245,glutathione_conjugation_(quinone),"[C:1]([H])1-[C:2](=[O:3])-[C:4]=[C:5]-[C:6](=[O,N:7])-[C:8]=1>>[C:1](SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)1-[C:2](-[O:3])=[C:4]-[C:5]=[C:6](-[*:7])-[C:8]=1",common,GST rules (phase 2),Current work,1
246,glutathione_conjugation_(orthoquinone),[C:1]([H])1[C:2](=O)[C:3](=O)[C:4]=[C:5][C:6]=1>>[C:1](SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)1[C:2](-O)=[C:3](-O)[C:4]=[C:5][C:6]=1,common,GST rules (phase 2),Current work,1
247,glutathione_conjugation_(isocyanate_isothiocyanate),"[C;$(C(=N[#6])=[S,O]):1]=[N:2]>>[C:1](SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)[N:2]",common,GST rules (phase 2),Current work,1
248,glutathione_conjugation_(nitrile),[C:1]#[N:2]>>[C:1](SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)=[N:2],common,GST rules (phase 2),Current work,1
249,N-acetylation_(aniline),[c:1][NH2:2]([H])>>[c:1][N:2]C(=O)C,common,NAT rules (phase 2),SyGMa,2
250,N-acetylation_(aliphatic_NH2),[C;!$(C=[*;!#6;!#1]):1][NH2:2]([H])>>[C:1][N:2]C(=O)C,common,NAT rules (phase 2),SyGMa,2
251,N-acetylation_(heteroatom_bonded_NH2),[*;!#6;!#1:1][NH2:2]([H])>>[*:1][N:2]C(=O)C,common,NAT rules (phase 2),SyGMa,2
252,N-acetylation_(NH1),[CX4:1][NH1;R:2]([H])[CX4:3]>>[C:1][N:2]([C:3])C(=O)C,common,NAT rules (phase 2),SyGMa,2
253,N-acetylation_(NH1-CH3),[CH3:1][NH1:2]([H])[#6:3]>>[CH3:1][N:2]([#6:3])C(=O)C,common,NAT rules (phase 2),SyGMa,2
254,methylation_(aromatic_OH),[c:1][O:2]([H])>>[c:1][O:2]C,common,MT rules (phase 2),SyGMa,2
255,methylation_(thiol),[#6:1][SH1:2]([H])>>[#6:1][S:2]C,common,MT rules (phase 2),SyGMa,2
256,glycination_(aromatic_carboxyl),[c:1][C:2](=O)[O]([H])>>[c:1][C:2](=O)NCC(=O)O,uncommon,Other phase 2 rules,SyGMa,2
257,glycination_(aliphatic_carboxyl),[C!$(CN):1][C:2](=O)[O]([H])>>[C:1][C:2](=O)NCC(=O)O,uncommon,Other phase 2 rules,SyGMa,2
258,phosphorylation,"[OH1;$(O[CH2]C1AACO1),$(OP([OH1])(=O)OCC1AACO1),$(OP([OH1])(=O)OP(O)(=O)OCC1AACO1):1]([H])>>[O:1]P(O)(O)=O",uncommon,Other phase 2 rules,SyGMa,1
259,dephosphorylation,"[#6,P:1][O:2][P:3]([O:4])([O:5])=[O:6]>>([*;#6,P:1][O:2].O[P:3]([O:4])([O:5])=[O:6])",uncommon,Other phase 2 rules,SyGMa,1
